family,n,seed,field,A,logA,r_star
B3_periodic,2,0,linear,1.53108746168203,0.18499999999999997,0.2
B3_periodic,2,0,linear,1.6982436524617444,0.23,0.2
B3_periodic,2,0,linear,1.8836490894898006,0.275,0.20965
B3_periodic,2,0,linear,2.0892961308540396,0.32,0.22934
B3_periodic,2,0,linear,2.3173946499684783,0.36499999999999994,0.27106
B3_periodic,2,0,linear,2.5703957827688635,0.4099999999999999,0.578225
B3_periodic,2,0,linear,2.8510182675039095,0.455,0.582325
B3_periodic,2,0,linear,3.1622776601683795,0.5,0.58768
B3_periodic,2,0,linear,3.5075187395256804,0.545,0.595605
B3_periodic,2,0,linear,3.890451449942806,0.59,0.8234
B3_periodic,2,0,linear,4.3151907682776525,0.635,1.0
B3_periodic,2,0,linear,4.786300923226384,0.68,1.0
B3_periodic,2,0,linear,5.3088444423098835,0.725,1.0
B3_periodic,2,0,linear,5.88843655355589,0.77,1.0
B3_periodic,2,0,linear,6.531305526474723,0.815,1.0
B3_periodic,2,0,linear,7.244359600749901,0.86,1.0
B3_periodic,2,0,linear,8.035261221856173,0.905,1.0
B3_periodic,2,0,linear,8.912509381337454,0.95,1.0
B3_periodic,2,0,linear,9.885530946569387,0.995,1.0
B3_periodic,2,0,linear,10.964781961431852,1.04,1.0
B3_periodic,2,0,linear,12.161860006463678,1.085,1.0
B3_periodic,2,0,linear,13.489628825916533,1.13,1.0
B3_periodic,2,0,linear,14.962356560944336,1.175,1.0
B3_periodic,2,0,linear,16.595869074375607,1.22,1.0
B3_periodic,2,0,linear,18.407720014689556,1.265,1.0
B3_periodic,2,0,linear,20.417379446695296,1.31,1.0
B3_periodic,2,0,linear,22.646443075930595,1.355,1.0
B3_periodic,2,0,linear,25.118864315095795,1.4,1.0
B7_cantor,2,0,linear,0.05011872336272722,-1.3,0.2
B7_cantor,2,0,linear,0.05559042572704037,-1.255,0.2
B7_cantor,2,0,linear,0.06165950018614822,-1.21,0.2
B7_cantor,2,0,linear,0.06839116472814293,-1.165,0.2
B7_cantor,2,0,linear,0.07585775750291836,-1.12,0.2
B7_cantor,2,0,linear,0.08413951416451952,-1.075,0.2
B7_cantor,2,0,linear,0.0933254300796991,-1.03,0.2
B7_cantor,2,0,linear,0.10351421666793438,-0.985,0.2
B7_cantor,2,0,linear,0.1148153621496883,-0.94,0.2
B7_cantor,2,0,linear,0.12735030810166617,-0.895,0.2
