family,n,E0,r,field,potential
B7_cantor,6,0.16666666666666666,0.8109,0.941563755,0.7678008621431668
B7_cantor,6,0.16666666666666666,0.81095,0.9423805387499995,0.7678479607581042
B7_cantor,6,0.16666666666666666,0.811,0.9431955000000013,0.7678951001666668
B7_cantor,6,0.16666666666666666,0.81105,0.9440086387500014,0.7679422802777294
B7_cantor,6,0.16666666666666666,0.8111,0.944819955000001,0.7679895010001668
B7_cantor,6,0.16666666666666666,0.81115,0.9456294487500012,0.7680367622428543
B7_cantor,6,0.16666666666666666,0.8112,0.9464371200000009,0.7680840639146668
B7_cantor,6,0.16666666666666666,0.81125,0.9472429687500011,0.7681314059244793
B7_cantor,6,0.16666666666666666,0.8113,0.9480469950000008,0.7681787881811668
B7_cantor,6,0.16666666666666666,0.81135,0.9488491987500008,0.7682262105936043
B7_cantor,6,0.16666666666666666,0.8114,0.9496495800000004,0.7682736730706667
B7_cantor,6,0.16666666666666666,0.81145,0.9504481387500007,0.7683211755212292
B7_cantor,6,0.16666666666666666,0.8115,0.9512448750000003,0.7683687178541668
B7_cantor,6,0.16666666666666666,0.81155,0.9520397887500006,0.7684162999783543
B7_cantor,6,0.16666666666666666,0.8116,0.9528328800000002,0.7684639218026668
B7_cantor,6,0.16666666666666666,0.81165,0.9536241487500003,0.7685115832359792
B7_cantor,6,0.16666666666666666,0.8117,0.954413595,0.7685592841871668
B7_cantor,6,0.16666666666666666,0.81175,0.9552012187500002,0.7686070245651042
B7_cantor,6,0.16666666666666666,0.8118,0.9559870199999999,0.7686548042786667
B7_cantor,6,0.16666666666666666,0.81185,0.9567709987499999,0.7687026232367292
B7_cantor,6,0.16666666666666666,0.8119,0.9575531549999996,0.7687504813481667
B7_cantor,6,0.16666666666666666,0.81195,0.9583334887499999,0.7687983785218543
B7_cantor,6,0.16666666666666666,0.812,0.9591120000000015,0.7688463146666669
B7_cantor,6,0.16666666666666666,0.81205,0.9598886887500011,0.7688942896914793
