family,n,seed,ell,P,W
B5_shuffled,2,15,0.01,0.0,0.0
B5_shuffled,2,15,0.02,0.0,0.0
B5_shuffled,2,15,0.05,0.0,0.0
B5_shuffled,2,15,0.1,0.0,0.0
B5_shuffled,2,15,0.2,1.5561609791,0.07524819075005873
B5_shuffled,2,15,0.3333,2.2499999995999995,0.25
B5_shuffled,2,16,0.002,0.0,0.0
B5_shuffled,2,16,0.005,0.0,0.0
B5_shuffled,2,16,0.01,0.0,0.0
B5_shuffled,2,16,0.02,0.0,0.0
B5_shuffled,2,16,0.05,0.0,0.0
B5_shuffled,2,16,0.1,0.0,0.0
B5_shuffled,2,16,0.2,1.5561609791,0.07524819075005873
B5_shuffled,2,16,0.3333,2.2499999996000004,0.25
B5_shuffled,2,17,0.002,0.0,0.0
B5_shuffled,2,17,0.005,0.0,0.0
B5_shuffled,2,17,0.01,0.0,0.0
B5_shuffled,2,17,0.02,0.0,0.0
B5_shuffled,2,17,0.05,0.0,0.0
B5_shuffled,2,17,0.1,0.0,0.0
B5_shuffled,2,17,0.2,1.5561609791,0.07524819075005873
B5_shuffled,2,17,0.3333,2.2499999995999995,0.25
B5_shuffled,2,18,0.002,0.0,0.0
B5_shuffled,2,18,0.005,0.0,0.0
B5_shuffled,2,18,0.01,0.0,0.0
B5_shuffled,2,18,0.02,0.0,0.0
B5_shuffled,2,18,0.05,0.0,0.0
B5_shuffled,2,18,0.1,0.0,0.0
B5_shuffled,2,18,0.2,1.5561609791,0.07524819075005873
B5_shuffled,2,18,0.3333,2.2499999995999995,0.25
B5_shuffled,2,19,0.002,0.0,0.0
B5_shuffled,2,19,0.005,0.0,0.0
B5_shuffled,2,19,0.01,0.0,0.0
B5_shuffled,2,19,0.02,0.0,0.0
B5_shuffled,2,19,0.05,0.0,0.0
B5_shuffled,2,19,0.1,0.0,0.0
B5_shuffled,2,19,0.2,1.556194297499998,0.07524819047343745
B5_shuffled,2,19,0.3333,2.2500000000000004,0.25
B5_shuffled,2,20,0.002,0.0,0.0
B5_shuffled,2,20,0.005,0.0,0.0
B5_shuffled,2,20,0.01,0.0,0.0
B5_shuffled,2,20,0.02,0.0,0.0
B5_shuffled,2,20,0.05,0.0,0.0
B5_shuffled,2,20,0.1,0.0,0.0
B5_shuffled,2,20,0.2,1.5561609791,0.07524819075005873
B5_shuffled,2,20,0.3333,2.2499999996000004,0.25
B5_shuffled,2,21,0.002,0.0,0.0
B5_shuffled,2,21,0.005,0.0,0.0
B5_shuffled,2,21,0.01,0.0,0.0
B5_shuffled,2,21,0.02,0.0,0.0
B5_shuffled,2,21,0.05,0.0,0.0
B5_shuffled,2,21,0.1,0.0,0.0
B5_shuffled,2,21,0.2,1.556194297499999,0.07524819047343745
B5_shuffled,2,21,0.3333,2.25,0.25
B5_shuffled,2,22,0.002,0.0,0.0
B5_shuffled,2,22,0.005,0.0,0.0
B5_shuffled,2,22,0.01,0.0,0.0
B5_shuffled,2,22,0.02,0.0,0.0
B5_shuffled,2,22,0.05,0.0,0.0
