model,layer,attack,bin,tau_global,sigma_global,tau_cond,sigma_cond,delta_norm,sigma_ratio,n_h,n_b,phase
qwen2.5-0.5b-instruct,11,suffix_simple,gen_2-4,0.9629560469372553,0.8185244610483109,0.5104403882509186,0.3080218914542942,-0.5528431711213434,0.37631360589981705,84,84,generation
qwen2.5-0.5b-instruct,11,suffix_simple,gen_5-8,0.9629560469372553,0.8185244610483109,1.3974689611100723,0.9173454124650838,0.5308490275493076,1.1207306025897013,112,112,generation
qwen2.5-0.5b-instruct,11,suffix_simple,gen_9-16,0.9629560469372553,0.8185244610483109,1.4189521071301507,0.8394122905286102,0.5570952144898473,1.025518882421116,224,224,generation
qwen2.5-0.5b-instruct,11,suffix_simple,prefill,0.9629560469372553,0.8185244610483109,0.20707350224256516,0.5013418605749734,-0.9234697075840675,0.6124946589047425,28,28,prefill
qwen2.5-0.5b-instruct,13,hypothetical_dev,gen_1,2.3039041417351527,1.1701030882381966,2.0386205847774233,0.7108199363460067,-0.22671810682694818,0.6074848818801731,28,28,generation
qwen2.5-0.5b-instruct,13,hypothetical_dev,gen_17+,2.3039041417351527,1.1701030882381966,2.8497039671151008,1.2148050369675976,0.46645447812786234,1.0382034276968775,196,196,generation
qwen2.5-0.5b-instruct,13,hypothetical_dev,gen_2-4,2.3039041417351527,1.1701030882381966,2.2432171248254322,0.6312370743420687,-0.05186467544590093,0.5394713343526946,84,84,generation
qwen2.5-0.5b-instruct,13,hypothetical_dev,gen_5-8,2.3039041417351527,1.1701030882381966,2.8054908466126234,0.7408381957188589,0.42866881552522085,0.6331392534262308,112,112,generation
qwen2.5-0.5b-instruct,13,hypothetical_dev,gen_9-16,2.3039041417351527,1.1701030882381966,3.2291948012342413,1.068127516823535,0.7907770424674994,0.9128490707872547,224,224,generation
qwen2.5-0.5b-instruct,13,hypothetical_dev,prefill,2.3039041417351527,1.1701030882381966,2.874557214123862,0.4645119837010012,0.48769469812094207,0.39698381140110367,28,28,prefill
qwen2.5-0.5b-instruct,13,plain,gen_1,2.3039041417351527,1.1701030882381966,2.1826539103473936,0.8243273371916471,-0.1036235461700416,0.7044912072087786,28,28,generation
qwen2.5-0.5b-instruct,13,plain,gen_17+,2.3039041417351527,1.1701030882381966,1.7151212271454992,1.1284710419015607,-0.5031889245555051,0.9644201893362058,196,196,generation
qwen2.5-0.5b-instruct,13,plain,gen_2-4,2.3039041417351527,1.1701030882381966,2.519093079935937,0.8592431696159338,0.18390596552034594,0.734331169837079,84,84,generation
qwen2.5-0.5b-instruct,13,plain,gen_5-8,2.3039041417351527,1.1701030882381966,2.578789706741061,0.8834389127653344,0.23492422827444923,0.7550094702301082,112,112,generation
qwen2.5-0.5b-instruct,13,plain,gen_9-16,2.3039041417351527,1.1701030882381966,2.426258550890322,1.3214502058403124,0.10456720470620774,1.1293451142240778,224,224,generation
qwen2.5-0.5b-instruct,13,plain,prefill,2.3039041417351527,1.1701030882381966,2.583681865462235,0.9135523424578765,0.23910519213169393,0.7807451767633534,28,28,prefill
qwen2.5-0.5b-instruct,13,prefix_sure,gen_1,2.3039041417351527,1.1701030882381966,2.2640694081783295,0.862061270565182,-0.03404378123367032,0.7367395909220036,28,28,generation
qwen2.5-0.5b-instruct,13,prefix_sure,gen_17+,2.3039041417351527,1.1701030882381966,1.977003736915637,1.0737487369852803,-0.27937743956536665,0.9176531091820334,196,196,generation
qwen2.5-0.5b-instruct,13,prefix_sure,gen_2-4,2.3039041417351527,1.1701030882381966,2.5282437691376325,0.8619000548622621,0.19172637834864958,0.7366018118625852,84,84,generation
qwen2.5-0.5b-instruct,13,prefix_sure,gen_5-8,2.3039041417351527,1.1701030882381966,2.664411835106356,0.9043029131495258,0.30809908716163914,0.7728403781166996,112,112,generation
qwen2.5-0.5b-instruct,13,prefix_sure,gen_9-16,2.3039041417351527,1.1701030882381966,2.5422722533611317,1.2736241702471316,0.20371547944966598,1.0884717620605588,224,224,generation
qwen2.5-0.5b-instruct,13,prefix_sure,prefill,2.3039041417351527,1.1701030882381966,2.627489220883165,0.917083587770519,0.2765440775267318,0.7837630692449119,28,28,prefill
qwen2.5-0.5b-instruct,13,roleplay_dev,gen_1,2.3039041417351527,1.1701030882381966,1.6024627227868353,0.6899776333831316,-0.599469761253656,0.5896725171642941,28,28,generation
qwen2.5-0.5b-instruct,13,roleplay_dev,gen_17+,2.3039041417351527,1.1701030882381966,1.8816058133937874,1.0984788744592573,-0.36090694280382796,0.9387881166207478,196,196,generation
qwen2.5-0.5b-instruct,13,roleplay_dev,gen_2-4,2.3039041417351527,1.1701030882381966,1.8272438081247466,0.7632468333851752,-0.40736610167237913,0.6522902478057573,84,84,generation
qwen2.5-0.5b-instruct,13,roleplay_dev,gen_5-8,2.3039041417351527,1.1701030882381966,2.2415745077388625,0.9167638700074258,-0.05326849798348864,0.7834898302745109,112,112,generation
qwen2.5-0.5b-instruct,13,roleplay_dev,gen_9-16,2.3039041417351527,1.1701030882381966,2.42257295748485,1.1117729911819898,0.1014174024003087,0.9501496084895961,224,224,generation
qwen2.5-0.5b-instruct,13,roleplay_dev,prefill,2.3039041417351527,1.1701030882381966,1.6283760092088153,0.4327470217701629,-0.577323604489813,0.3698366632137877,28,28,prefill
qwen2.5-0.5b-instruct,13,suffix_simple,gen_1,2.3039041417351527,1.1701030882381966,0.41076718483652386,0.30127086698163896,-1.6179232205506708,0.2574737815924041,28,28,generation
qwen2.5-0.5b-instruct,13,suffix_simple,gen_17+,2.3039041417351527,1.1701030882381966,2.27118518792701,1.0855288989535774,-0.027962454023950197,0.9277207366301707,196,196,generation
qwen2.5-0.5b-instruct,13,suffix_simple,gen_2-4,2.3039041417351527,1.1701030882381966,0.7467906791716814,0.30803418435766,-1.330748955553984,0.2632538854516328,84,84,generation
qwen2.5-0.5b-instruct,13,suffix_simple,gen_5-8,2.3039041417351527,1.1701030882381966,1.7473175751843621,0.9030847176163439,-0.4756731027766391,0.7717992770842973,112,112,generation
qwen2.5-0.5b-instruct,13,suffix_simple,gen_9-16,2.3039041417351527,1.1701030882381966,2.4711398724965488,1.0018633785137865,0.1429239290473115,0.8562180448752377,224,224,generation
qwen2.5-0.5b-instruct,13,suffix_simple,prefill,2.3039041417351527,1.1701030882381966,0.917868607278381,0.45401375463654775,-1.1845413864719394,0.3880117565710797,28,28,prefill
qwen2.5-0.5b-instruct,16,hypothetical_dev,gen_1,2.1352867045273474,1.730454490648656,3.3445607657943457,1.406369808199669,0.6988187599280379,0.8127170149805529,28,28,generation
qwen2.5-0.5b-instruct,16,hypothetical_dev,gen_17+,2.1352867045273474,1.730454490648656,2.3680792729541356,1.3978472523042176,0.13452683655351522,0.807791975956697,196,196,generation
qwen2.5-0.5b-instruct,16,hypothetical_dev,gen_2-4,2.1352867045273474,1.730454490648656,2.386942097473712,1.5569700075136743,0.14542733964187202,0.8997462897334263,84,84,generation
qwen2.5-0.5b-instruct,16,hypothetical_dev,gen_5-8,2.1352867045273474,1.730454490648656,3.0527789406478405,1.3976076067024057,0.5302030426564837,0.8076534888695722,112,112,generation
qwen2.5-0.5b-instruct,16,hypothetical_dev,gen_9-16,2.1352867045273474,1.730454490648656,2.476300265440451,1.313358455059166,0.1970658938191872,0.7589673476861314,224,224,generation
qwen2.5-0.5b-instruct,16,hypothetical_dev,prefill,2.1352867045273474,1.730454490648656,5.2035176413399835,0.7953413470703885,1.7730780863601436,0.45961413684578145,28,28,prefill
qwen2.5-0.5b-instruct,16,plain,gen_1,2.1352867045273474,1.730454490648656,4.144046621131046,2.443184979018289,1.1608279370876262,1.411874737082781,28,28,generation
qwen2.5-0.5b-instruct,16,plain,gen_17+,2.1352867045273474,1.730454490648656,1.2142398642680172,1.2214496803346733,-0.5322571874826239,0.7058548415664004,196,196,generation
qwen2.5-0.5b-instruct,16,plain,gen_2-4,2.1352867045273474,1.730454490648656,3.479496542186964,2.038854990230518,0.7767958330737396,1.1782193644782066,84,84,generation
qwen2.5-0.5b-instruct,16,plain,gen_5-8,2.1352867045273474,1.730454490648656,3.2141724439404373,1.8063976655631964,0.6234695828427551,1.043886259549116,112,112,generation
qwen2.5-0.5b-instruct,16,plain,gen_9-16,2.1352867045273474,1.730454490648656,1.9930740712942288,1.5377473154194878,-0.0821822440298968,0.8886378253397854,224,224,generation
qwen2.5-0.5b-instruct,16,plain,prefill,2.1352867045273474,1.730454490648656,4.705940541412149,1.972471931440135,1.4855368059527523,1.1398577322312355,28,28,prefill
qwen2.5-0.5b-instruct,16,prefix_sure,gen_1,2.1352867045273474,1.730454490648656,3.9949571293379575,2.6433799505313575,1.074671674326158,1.5275639809172294,28,28,generation
qwen2.5-0.5b-instruct,16,prefix_sure,gen_17+,2.1352867045273474,1.730454490648656,1.5376721972561613,1.289336204761085,-0.3453511840390393,0.7450853008435842,196,196,generation
qwen2.5-0.5b-instruct,16,prefix_sure,gen_2-4,2.1352867045273474,1.730454490648656,3.2501837179242146,2.1074080887780284,0.6442798810496029,1.2178350255186845,84,84,generation
qwen2.5-0.5b-instruct,16,prefix_sure,gen_5-8,2.1352867045273474,1.730454490648656,2.9997599832713604,1.8389084148078132,0.499564295631934,1.0626736644882833,112,112,generation
qwen2.5-0.5b-instruct,16,prefix_sure,gen_9-16,2.1352867045273474,1.730454490648656,2.161413270564351,1.5310209171131628,0.015098094852069824,0.8847507550107624,224,224,generation
qwen2.5-0.5b-instruct,16,prefix_sure,prefill,2.1352867045273474,1.730454490648656,4.417591483465262,2.142544870214638,1.318904826027756,1.2381399694663517,28,28,prefill
qwen2.5-0.5b-instruct,16,roleplay_dev,gen_1,2.1352867045273474,1.730454490648656,3.517644474548953,1.0621947169724395,0.7988408695471861,0.613824126963477,28,28,generation
qwen2.5-0.5b-instruct,16,roleplay_dev,gen_17+,2.1352867045273474,1.730454490648656,1.2538622230367393,1.1675802152062835,-0.5093601052520073,0.6747246006848867,196,196,generation
qwen2.5-0.5b-instruct,16,roleplay_dev,gen_2-4,2.1352867045273474,1.730454490648656,3.181602102837392,1.739770688512318,0.6046477407896675,1.0053836711187762,84,84,generation
qwen2.5-0.5b-instruct,16,roleplay_dev,gen_5-8,2.1352867045273474,1.730454490648656,2.390910530595907,1.6866375403964242,0.14772062914682016,0.9746789352224992,112,112,generation
qwen2.5-0.5b-instruct,16,roleplay_dev,gen_9-16,2.1352867045273474,1.730454490648656,1.5226537486638074,1.336813833880993,-0.35403008814978787,0.7725218092155038,224,224,generation
qwen2.5-0.5b-instruct,16,roleplay_dev,prefill,2.1352867045273474,1.730454490648656,3.5517053604125977,0.7895566414875423,0.8185240718779664,0.45627125460640067,28,28,prefill
qwen2.5-0.5b-instruct,16,suffix_simple,gen_1,2.1352867045273474,1.730454490648656,1.8808331457631926,0.4351033424103662,-0.1470443517233288,0.25143876638285295,28,28,generation
qwen2.5-0.5b-instruct,16,suffix_simple,gen_17+,2.1352867045273474,1.730454490648656,1.110313632335438,1.0795076351967003,-0.5923143762120558,0.6238289657603476,196,196,generation
qwen2.5-0.5b-instruct,16,suffix_simple,gen_2-4,2.1352867045273474,1.730454490648656,1.4728741663552465,0.7264257365829423,-0.3827968558270477,0.41978898636660683,84,84,generation
qwen2.5-0.5b-instruct,16,suffix_simple,gen_5-8,2.1352867045273474,1.730454490648656,1.3639912337863018,1.0153646851453662,-0.4457184369245836,0.5867618539709527,112,112,generation
