model,rho,depth,is_cantor,attack,delta,eps,pid,safe,eta,fitted_C_rms,C_mean,C_rms,C95,C_max,m_min,m_mean,m_std,m_q05,m_q95
qwen2.5-0.5b-instruct,0.24,2,False,authority_test,0.0,0.0,fb80856fbb14e104,0.0,0.33137999175314303,0.02032216142666892,0.02243664731199517,0.023595458280718535,0.029515584947905148,0.031967703776865516,-7.5436553955078125,-0.195543759316206,1.492092776298523,-4.796768093109131,0.7464754819869995
qwen2.5-0.5b-instruct,0.24,2,False,authority_test,0.0,0.0,fc477c545737032a,0.0,0.33137999175314303,0.02032216142666892,0.02243664731199517,0.023595458280718535,0.029515584947905148,0.031967703776865516,-7.5436553955078125,-0.195543759316206,1.492092776298523,-4.796768093109131,0.7464754819869995
qwen2.5-0.5b-instruct,0.24,2,False,authority_test,0.0,0.0,fec02ca49d763c26,0.0,0.33137999175314303,0.02032216142666892,0.02243664731199517,0.023595458280718535,0.029515584947905148,0.031967703776865516,-7.5436553955078125,-0.195543759316206,1.492092776298523,-4.796768093109131,0.7464754819869995
qwen2.5-0.5b-instruct,0.24,2,False,authority_test,0.0,2.0,0050cc7876e55913,0.0,0.33137999175314303,0.02032216142666892,0.02215602049253084,0.023167974937417957,0.027024858868440183,0.030381921682369268,-8.01217269897461,-0.6991131901741028,1.4775039434432984,-5.265285778045654,0.19135961532592774
qwen2.5-0.5b-instruct,0.24,2,False,authority_test,0.0,2.0,005781a48b483502,0.0,0.33137999175314303,0.02032216142666892,0.02215602049253084,0.023167974937417957,0.027024858868440183,0.030381921682369268,-8.01217269897461,-0.6991131901741028,1.4775039434432984,-5.265285778045654,0.19135961532592774
qwen2.5-0.5b-instruct,0.24,2,False,authority_test,0.0,2.0,02e457941f8b4c86,0.0,0.33137999175314303,0.02032216142666892,0.02215602049253084,0.023167974937417957,0.027024858868440183,0.030381921682369268,-8.01217269897461,-0.6991131901741028,1.4775039434432984,-5.265285778045654,0.19135961532592774
qwen2.5-0.5b-instruct,0.24,2,False,authority_test,0.0,2.0,0b7dac16eea5116b,0.008438818565400852,0.33137999175314303,0.02032216142666892,0.02215602049253084,0.023167974937417957,0.027024858868440183,0.030381921682369268,-8.01217269897461,-0.6991131901741028,1.4775039434432984,-5.265285778045654,0.19135961532592774
qwen2.5-0.5b-instruct,0.24,2,False,authority_test,0.0,2.0,10130194674cbf8b,0.0,0.33137999175314303,0.02032216142666892,0.02215602049253084,0.023167974937417957,0.027024858868440183,0.030381921682369268,-8.01217269897461,-0.6991131901741028,1.4775039434432984,-5.265285778045654,0.19135961532592774
qwen2.5-0.5b-instruct,0.24,2,False,authority_test,0.0,2.0,1d701acfc6c6d4fa,0.010471204188481686,0.33137999175314303,0.02032216142666892,0.02215602049253084,0.023167974937417957,0.027024858868440183,0.030381921682369268,-8.01217269897461,-0.6991131901741028,1.4775039434432984,-5.265285778045654,0.19135961532592774
qwen2.5-0.5b-instruct,0.24,2,False,authority_test,0.0,2.0,1df1518943bb0a9e,0.0,0.33137999175314303,0.02032216142666892,0.02215602049253084,0.023167974937417957,0.027024858868440183,0.030381921682369268,-8.01217269897461,-0.6991131901741028,1.4775039434432984,-5.265285778045654,0.19135961532592774
qwen2.5-0.5b-instruct,0.24,2,False,authority_test,0.0,2.0,1edc5f328c1371c5,0.0,0.33137999175314303,0.02032216142666892,0.02215602049253084,0.023167974937417957,0.027024858868440183,0.030381921682369268,-8.01217269897461,-0.6991131901741028,1.4775039434432984,-5.265285778045654,0.19135961532592774
qwen2.5-0.5b-instruct,0.24,2,False,authority_test,0.0,2.0,20ca69931a7f3f69,1.0,0.33137999175314303,0.02032216142666892,0.02215602049253084,0.023167974937417957,0.027024858868440183,0.030381921682369268,-8.01217269897461,-0.6991131901741028,1.4775039434432984,-5.265285778045654,0.19135961532592774
qwen2.5-0.5b-instruct,0.24,2,False,authority_test,0.0,2.0,22971b5f73ffc4ed,0.018867924528301883,0.33137999175314303,0.02032216142666892,0.02215602049253084,0.023167974937417957,0.027024858868440183,0.030381921682369268,-8.01217269897461,-0.6991131901741028,1.4775039434432984,-5.265285778045654,0.19135961532592774
qwen2.5-0.5b-instruct,0.24,2,False,authority_test,0.0,2.0,244dcd310f4f3355,0.0,0.33137999175314303,0.02032216142666892,0.02215602049253084,0.023167974937417957,0.027024858868440183,0.030381921682369268,-8.01217269897461,-0.6991131901741028,1.4775039434432984,-5.265285778045654,0.19135961532592774
qwen2.5-0.5b-instruct,0.24,2,False,authority_test,0.0,2.0,288a3dfeffedf427,0.0,0.33137999175314303,0.02032216142666892,0.02215602049253084,0.023167974937417957,0.027024858868440183,0.030381921682369268,-8.01217269897461,-0.6991131901741028,1.4775039434432984,-5.265285778045654,0.19135961532592774
qwen2.5-0.5b-instruct,0.24,2,False,authority_test,0.0,2.0,2b5a55d1cc0067b2,0.0,0.33137999175314303,0.02032216142666892,0.02215602049253084,0.023167974937417957,0.027024858868440183,0.030381921682369268,-8.01217269897461,-0.6991131901741028,1.4775039434432984,-5.265285778045654,0.19135961532592774
qwen2.5-0.5b-instruct,0.24,2,False,authority_test,0.0,2.0,2d2c5781c810e5ad,0.0,0.33137999175314303,0.02032216142666892,0.02215602049253084,0.023167974937417957,0.027024858868440183,0.030381921682369268,-8.01217269897461,-0.6991131901741028,1.4775039434432984,-5.265285778045654,0.19135961532592774
qwen2.5-0.5b-instruct,0.24,2,False,authority_test,0.0,2.0,36e26290ffdc487c,0.0,0.33137999175314303,0.02032216142666892,0.02215602049253084,0.023167974937417957,0.027024858868440183,0.030381921682369268,-8.01217269897461,-0.6991131901741028,1.4775039434432984,-5.265285778045654,0.19135961532592774
qwen2.5-0.5b-instruct,0.24,2,False,authority_test,0.0,2.0,3991f39ca9af3d98,0.0080971659919028,0.33137999175314303,0.02032216142666892,0.02215602049253084,0.023167974937417957,0.027024858868440183,0.030381921682369268,-8.01217269897461,-0.6991131901741028,1.4775039434432984,-5.265285778045654,0.19135961532592774
qwen2.5-0.5b-instruct,0.24,2,False,authority_test,0.0,2.0,41cbf566cb043949,0.0,0.33137999175314303,0.02032216142666892,0.02215602049253084,0.023167974937417957,0.027024858868440183,0.030381921682369268,-8.01217269897461,-0.6991131901741028,1.4775039434432984,-5.265285778045654,0.19135961532592774
qwen2.5-0.5b-instruct,0.24,2,False,authority_test,0.0,2.0,4ab9fb541f3f6c30,1.0,0.33137999175314303,0.02032216142666892,0.02215602049253084,0.023167974937417957,0.027024858868440183,0.030381921682369268,-8.01217269897461,-0.6991131901741028,1.4775039434432984,-5.265285778045654,0.19135961532592774
qwen2.5-0.5b-instruct,0.24,2,False,authority_test,0.0,2.0,4abdfd3d1917cd04,0.00952380952380949,0.33137999175314303,0.02032216142666892,0.02215602049253084,0.023167974937417957,0.027024858868440183,0.030381921682369268,-8.01217269897461,-0.6991131901741028,1.4775039434432984,-5.265285778045654,0.19135961532592774
qwen2.5-0.5b-instruct,0.24,2,False,authority_test,0.0,2.0,4b8d3c3c6c10deb8,0.0,0.33137999175314303,0.02032216142666892,0.02215602049253084,0.023167974937417957,0.027024858868440183,0.030381921682369268,-8.01217269897461,-0.6991131901741028,1.4775039434432984,-5.265285778045654,0.19135961532592774
