n,h0,tau_S,tau_relax,tau_min,faster_than_relax,bound_violated,R_safe
10,0.17,0.8126878121606582,0.8538710558830546,0.09620130142016049,true,false,0.9729
0,0.18,0.19853902113787258,0.8154064825496127,0.0905194734555671,true,false,0.29806666666666665
1,0.18,0.19912207622147143,0.8154064825496127,0.0905194734555671,true,false,0.9933666666666667
2,0.18,0.26147311658027944,0.8154064825496127,0.0905194734555671,true,false,0.9913000000000001
3,0.18,0.437479544934904,0.8154064825496127,0.0905194734555671,true,false,0.9854333333333334
4,0.18,0.5598563238688048,0.8154064825496127,0.0905194734555671,true,false,0.9813666666666666
5,0.18,0.6450263824070743,0.8154064825496127,0.0905194734555671,true,false,0.9785
6,0.18,0.6852850253980391,0.8154064825496127,0.0905194734555671,true,false,0.9771666666666667
7,0.18,0.7015178821681867,0.8154064825496127,0.0905194734555671,true,false,0.9766333333333334
8,0.18,0.7111532803927973,0.8154064825496127,0.0905194734555671,true,false,0.9763000000000001
9,0.18,0.741344908381813,0.8154064825496127,0.0905194734555671,true,false,0.9753000000000001
10,0.18,0.7642032677322355,0.8154064825496127,0.0905194734555671,true,false,0.9745
0,0.19,0.19133659979527864,0.7757206096563871,0.08481170098109055,true,false,0.29819999999999997
1,0.19,0.19171806692752583,0.7757206096563871,0.08481170098109055,true,false,0.9936333333333334
2,0.19,0.23154392419899109,0.7757206096563871,0.08481170098109055,true,false,0.9923000000000001
3,0.19,0.4017972701851609,0.7757206096563871,0.08481170098109055,true,false,0.9866333333333334
4,0.19,0.5217063792119344,0.7757206096563871,0.08481170098109055,true,false,0.9826333333333334
5,0.19,0.6073528560036119,0.7757206096563871,0.08481170098109055,true,false,0.9797666666666667
6,0.19,0.6468077742189917,0.7757206096563871,0.08481170098109055,true,false,0.9784333333333334
7,0.19,0.6595437828065026,0.7757206096563871,0.08481170098109055,true,false,0.9780333333333334
8,0.19,0.674553761136641,0.7757206096563871,0.08481170098109055,true,false,0.9774999999999999
9,0.19,0.6904361873210095,0.7757206096563871,0.08481170098109055,true,false,0.9769666666666666
10,0.19,0.7082124095626524,0.7757206096563871,0.08481170098109055,true,false,0.9763666666666667
0,0.2,0.18389451170154664,0.7347333311276486,0.07907774597245816,true,false,0.29813333333333336
1,0.2,0.18422080663007145,0.7347333311276486,0.07907774597245816,true,false,0.9938333333333333
2,0.2,0.205522556517148,0.7347333311276486,0.07907774597245816,true,false,0.9931666666666668
