n,h0,tau_S,tau_relax,tau_min,faster_than_relax,bound_violated,R_safe
9,0.13,1.6073251849188706,0.9968839948552349,0.11867381678942088,false,false,0.9464333333333333
10,0.13,1.0439618794679522,0.9968839948552349,0.11867381678942088,false,false,0.9652333333333334
0,0.14,0.2253808252963074,0.9626352771200921,0.11309345037856398,true,false,0.29793333333333333
1,0.14,0.2257814072637419,0.9626352771200921,0.11309345037856398,true,false,0.9925
2,0.14,0.3914982370176474,0.9626352771200921,0.11309345037856398,true,false,0.9869666666666668
3,0.14,0.5837674637848957,0.9626352771200921,0.11309345037856398,true,false,0.9805666666666667
4,0.14,0.7205503236742736,0.9626352771200921,0.11309345037856398,true,false,0.9759666666666666
5,0.14,1.5851752876139726,0.9626352771200921,0.11309345037856398,false,false,0.9471666666666666
6,0.14,1.6157753048382377,0.9626352771200921,0.11309345037856398,false,false,0.9461666666666667
7,0.14,1.633767341566171,0.9626352771200921,0.11309345037856398,false,false,0.9455666666666667
8,0.14,1.6333133441548622,0.9626352771200921,0.11309345037856398,false,false,0.9455666666666667
9,0.14,1.586619678214284,0.9626352771200921,0.11309345037856398,false,false,0.9471
10,0.14,0.991234747608928,0.9626352771200921,0.11309345037856398,false,false,0.9669666666666666
0,0.15,0.21892900852035477,0.9274216809117214,0.10748805981940314,true,false,0.298
1,0.15,0.2193255599770781,0.9274216809117214,0.10748805981940314,true,false,0.9927
2,0.15,0.35773989007880913,0.9274216809117214,0.10748805981940314,true,false,0.9881
3,0.15,0.5469169383685879,0.9274216809117214,0.10748805981940314,true,false,0.9817666666666667
4,0.15,0.6756388881762605,0.9274216809117214,0.10748805981940314,true,false,0.9774999999999999
5,0.15,0.769939493959245,0.9274216809117214,0.10748805981940314,true,false,0.9743666666666667
6,0.15,1.5859054743502483,0.9274216809117214,0.10748805981940314,false,false,0.9471666666666666
7,0.15,1.5856418343976926,0.9274216809117214,0.10748805981940314,false,false,0.9471666666666666
8,0.15,1.6179291177300807,0.9274216809117214,0.10748805981940314,false,false,0.9460999999999999
9,0.15,1.5603605686786644,0.9274216809117214,0.10748805981940314,false,false,0.9479666666666666
10,0.15,0.9259471607006056,0.9274216809117214,0.10748805981940314,true,false,0.9691666666666666
0,0.16,0.21231611317878485,0.8911872598201562,0.10185741966802261,true,false,0.29806666666666665
1,0.16,0.2129615509904207,0.8911872598201562,0.10185741966802261,true,false,0.9929
2,0.16,0.32548743614623926,0.8911872598201562,0.10185741966802261,true,false,0.9891666666666666
3,0.16,0.5091494575089242,0.8911872598201562,0.10185741966802261,true,false,0.9830333333333333
4,0.16,0.6362743060480497,0.8911872598201562,0.10185741966802261,true,false,0.9787666666666667
5,0.16,0.7214161389169891,0.8911872598201562,0.10185741966802261,true,false,0.9759666666666666
6,0.16,0.7711083322980676,0.8911872598201562,0.10185741966802261,true,false,0.9742999999999999
7,0.16,0.8005542651989439,0.8911872598201562,0.10185741966802261,true,false,0.9733
8,0.16,1.5664136569291855,0.8911872598201562,0.10185741966802261,false,false,0.9477666666666666
9,0.16,1.5583321816970446,0.8911872598201562,0.10185741966802261,false,false,0.9480333333333333
10,0.16,0.8601885551566978,0.8911872598201562,0.10185741966802261,true,false,0.9712999999999999
0,0.17,0.20552514041680717,0.8538710558830546,0.09620130142016049,true,false,0.29813333333333336
1,0.17,0.20564799125520192,0.8538710558830546,0.09620130142016049,true,false,0.9931666666666668
2,0.17,0.2923816035289665,0.8538710558830546,0.09620130142016049,true,false,0.9902333333333334
3,0.17,0.4738633688035627,0.8538710558830546,0.09620130142016049,true,false,0.9842333333333334
4,0.17,0.5988290853956333,0.8538710558830546,0.09620130142016049,true,false,0.9800333333333333
5,0.17,0.6811475442473571,0.8538710558830546,0.09620130142016049,true,false,0.9773
6,0.17,0.7270346380067855,0.8538710558830546,0.09620130142016049,true,false,0.9757666666666667
7,0.17,0.7514183948091133,0.8538710558830546,0.09620130142016049,true,false,0.9749666666666668
8,0.17,0.7529493280823562,0.8538710558830546,0.09620130142016049,true,false,0.9749
9,0.17,0.8048070595289283,0.8538710558830546,0.09620130142016049,true,false,0.9731666666666666
