control,n,h0,A,omega,alpha,R_cantor,R_ctrl_mean,R_ctrl_sd,delta,pct_rank
G2_random,3,0.38,0.5,1.0,0.8,1.0,1.0,0.0,0.0,50.0
G2_random,4,0.38,0.5,1.0,0.8,1.0,1.0,0.0,0.0,50.0
G2_random,5,0.38,0.5,1.0,0.8,1.0,1.0,0.0,0.0,50.0
G2_random,6,0.38,0.5,1.0,0.8,1.0,1.0,0.0,0.0,50.0
G2_random,7,0.38,0.5,1.0,0.8,1.0,1.0,0.0,0.0,50.0
G2_random,8,0.38,0.5,1.0,0.8,1.0,1.0,0.0,0.0,50.0
G2_random,1,0.42,0.5,1.0,0.8,1.0,0.8080155555555556,0.1833789921687809,0.1919844444444444,76.66666666666667
G2_random,2,0.42,0.5,1.0,0.8,1.0,1.0,0.0,0.0,50.0
G2_random,3,0.42,0.5,1.0,0.8,1.0,1.0,0.0,0.0,50.0
G2_random,4,0.42,0.5,1.0,0.8,1.0,1.0,0.0,0.0,50.0
G2_random,5,0.42,0.5,1.0,0.8,1.0,1.0,0.0,0.0,50.0
G2_random,6,0.42,0.5,1.0,0.8,1.0,1.0,0.0,0.0,50.0
G2_random,7,0.42,0.5,1.0,0.8,1.0,1.0,0.0,0.0,50.0
G2_random,8,0.42,0.5,1.0,0.8,1.0,1.0,0.0,0.0,50.0
G2_random,1,0.46,0.5,1.0,0.8,1.0,0.8554233333333333,0.18110043193840225,0.1445766666666667,70.0
G2_random,2,0.46,0.5,1.0,0.8,1.0,1.0,0.0,0.0,50.0
G2_random,3,0.46,0.5,1.0,0.8,1.0,1.0,0.0,0.0,50.0
G2_random,4,0.46,0.5,1.0,0.8,1.0,1.0,0.0,0.0,50.0
G2_random,5,0.46,0.5,1.0,0.8,1.0,1.0,0.0,0.0,50.0
G2_random,6,0.46,0.5,1.0,0.8,1.0,1.0,0.0,0.0,50.0
G2_random,7,0.46,0.5,1.0,0.8,1.0,1.0,0.0,0.0,50.0
G2_random,8,0.46,0.5,1.0,0.8,1.0,1.0,0.0,0.0,50.0
G2_random,1,0.5,0.5,1.0,0.8,1.0,0.8004488888888889,0.19206028841407077,0.19955111111111112,76.66666666666667
G2_random,2,0.5,0.5,1.0,0.8,1.0,1.0,0.0,0.0,50.0
G2_random,3,0.5,0.5,1.0,0.8,1.0,1.0,0.0,0.0,50.0
G2_random,4,0.5,0.5,1.0,0.8,1.0,1.0,0.0,0.0,50.0
G2_random,5,0.5,0.5,1.0,0.8,1.0,1.0,0.0,0.0,50.0
G2_random,6,0.5,0.5,1.0,0.8,1.0,1.0,0.0,0.0,50.0
G2_random,7,0.5,0.5,1.0,0.8,1.0,1.0,0.0,0.0,50.0
G2_random,8,0.5,0.5,1.0,0.8,1.0,1.0,0.0,0.0,50.0
G2_random,1,0.54,0.5,1.0,0.8,1.0,0.7572044444444445,0.17121680408930157,0.24279555555555554,85.0
G2_random,2,0.54,0.5,1.0,0.8,1.0,1.0,0.0,0.0,50.0
G2_random,3,0.54,0.5,1.0,0.8,1.0,1.0,0.0,0.0,50.0
G2_random,4,0.54,0.5,1.0,0.8,1.0,1.0,0.0,0.0,50.0
G2_random,5,0.54,0.5,1.0,0.8,1.0,1.0,0.0,0.0,50.0
G2_random,6,0.54,0.5,1.0,0.8,1.0,1.0,0.0,0.0,50.0
G2_random,7,0.54,0.5,1.0,0.8,1.0,1.0,0.0,0.0,50.0
G2_random,8,0.54,0.5,1.0,0.8,1.0,1.0,0.0,0.0,50.0
G2_random,1,0.58,0.5,1.0,0.8,1.0,0.805638888888889,0.16903468348520986,0.19436111111111098,88.33333333333333
