n,family,scheme,ok,seconds,p95,visited,assertions,bytes
15,recursive_non_cantor,inductive,True,0.013561750000000927,0.013576712499999921,30,95,967
15,periodic_procedural,enumerative,True,0.02562570899999983,0.02578647150000002,65534,98361,913
15,shuffled_seeded,enumerative,True,0.02540658400000062,0.025522570599998674,65534,98361,909
15,center_anchored_seeded,enumerative,True,0.025470207999999772,0.025838383600000726,65534,98361,923
15,shuffled_explicit,enumerative,True,0.025657499999999445,0.025783761900000358,65534,98361,913
15,learned_minimax_explicit,enumerative,True,0.016173666000000253,0.01624510440000062,65534,229368,881
16,cantor_recursive,inductive,True,0.015195915999999698,0.015321466900000935,32,101,962
16,recursive_non_cantor,inductive,True,0.013597792000000553,0.01396337919999997,32,101,967
16,periodic_procedural,enumerative,True,0.053916333000000094,0.05710983359999968,131070,196669,913
16,shuffled_seeded,enumerative,True,0.05133291699999987,0.05321080480000049,131070,196669,909
16,center_anchored_seeded,enumerative,True,0.0511885000000003,0.051462250299999825,131070,196669,923
16,shuffled_explicit,enumerative,True,0.051033416000001,0.05124967880000018,131070,196669,913
16,learned_minimax_explicit,enumerative,True,0.03942587500000094,0.04310106280000099,131070,458744,881
17,cantor_recursive,inductive,True,0.015271832999999901,0.016002033599999698,34,107,962
17,recursive_non_cantor,inductive,True,0.01361466700000058,0.013674103900000744,34,107,967
17,periodic_procedural,enumerative,True,0.10475766699999944,0.10478811670000088,262142,393281,920
17,shuffled_seeded,enumerative,True,0.10493920799999934,0.10496635829999956,262142,393281,916
17,center_anchored_seeded,enumerative,True,0.10455625000000168,0.10475305030000044,262142,393281,930
17,shuffled_explicit,enumerative,True,0.10443499999999872,0.10448318779999859,262142,393281,920
17,learned_minimax_explicit,enumerative,True,0.0667754159999987,0.06703221659999947,262142,917496,891
18,cantor_recursive,inductive,True,0.015204332999999792,0.015298157999999517,36,113,962
18,recursive_non_cantor,inductive,True,0.013453832999999804,0.013471121100000972,36,113,967
18,periodic_procedural,enumerative,,,,524286,786501,695
18,shuffled_seeded,enumerative,,,,524286,786501,691
18,center_anchored_seeded,enumerative,,,,524286,786501,705
18,shuffled_explicit,enumerative,,,,524286,786501,695
18,learned_minimax_explicit,enumerative,,,,524286,1835000,693
19,cantor_recursive,inductive,True,0.015146749999999543,0.015180912199999596,38,119,962
19,recursive_non_cantor,inductive,True,0.013514958000001798,0.01357619580000069,38,119,967
19,periodic_procedural,enumerative,,,,1048574,1572937,695
19,shuffled_seeded,enumerative,,,,1048574,1572937,691
19,center_anchored_seeded,enumerative,,,,1048574,1572937,705
19,shuffled_explicit,enumerative,,,,1048574,1572937,695
19,learned_minimax_explicit,enumerative,,,,1048574,3670008,693
20,cantor_recursive,inductive,True,0.015230124999998651,0.015266387799999847,40,125,962
20,recursive_non_cantor,inductive,True,0.013519250000001648,0.013527574999999814,40,125,967
20,periodic_procedural,enumerative,,,,2097150,3145805,702
20,shuffled_seeded,enumerative,,,,2097150,3145805,698
20,center_anchored_seeded,enumerative,,,,2097150,3145805,712
20,shuffled_explicit,enumerative,,,,2097150,3145805,702
20,learned_minimax_explicit,enumerative,,,,2097150,7340024,703
