b,rho,alpha_field,alpha_sensitivity,gap_width_1,n_components_10,peak_k5,slope_k5,is_cantor
4,0.08,3.1249999999999996,39.062499999999986,0.22666666666666666,1048575,210.36933450137852,90634766.12823631,False
4,0.09,2.7777777777777772,30.864197530864192,0.2133333333333333,1048575,139.54082361682666,39877921.70119645,False
4,0.1,2.5,24.999999999999996,0.19999999999999998,1048575,97.65624999999999,19531249.999999996,False
4,0.11,2.2727272727272725,20.661157024793383,0.18666666666666665,1048575,71.46485651838766,10459598.26881277,False
4,0.12,2.083333333333333,17.361111111111104,0.1733333333333333,1048575,54.34041688924498,6047500.098963335,False
4,0.13,1.923076923076923,14.792899408284022,0.16,1048575,42.74020955148629,3741133.849610157,False
4,0.14,1.7857142857142856,12.755102040816325,0.14666666666666664,1048575,34.664622458445336,2460950.6307820603,False
4,0.15,1.6666666666666665,11.111111111111109,0.1333333333333333,1048575,28.935185185185173,1714677.640603565,False
4,0.16,1.5624999999999998,9.765624999999996,0.11999999999999995,1048575,24.835268656412747,1263187.0857957324,False
4,0.17,1.4705882352941173,8.650519031141865,0.10666666666666662,1048575,21.92328501215262,984331.111882907,False
4,0.18,1.3888888888888886,7.716049382716048,0.09333333333333331,1048575,19.93440337383238,813835.1367591114,False
4,0.19,1.3157894736842104,6.925207756232684,0.07999999999999996,1048575,18.733790026166158,718755.6121487003,False
4,0.2,1.2499999999999998,6.249999999999997,0.06666666666666661,1048575,18.310546875000004,686645.5078125002,False
4,0.21,1.1904761904761905,5.668934240362811,0.05333333333333331,1048575,18.830165286069075,726169.8553869944,False
4,0.22,1.1363636363636362,5.165289256198346,0.03999999999999996,1048575,20.843916484529757,889792.213839977,False
4,0.23,1.0869565217391302,4.725897920604914,0.026666666666666616,1048575,26.172786510911582,1402910.215671307,False
4,0.24,1.0416666666666665,4.340277777777776,0.013333333333333272,1048575,44.15158872251175,3992294.9872063003,False
5,0.05,4.0,79.99999999999999,0.1875,9765624,512.0,1747626666.6666665,False
5,0.06,3.333333333333333,55.55555555555555,0.175,9765624,264.5502645502645,466578949.82409954,False
5,0.07,2.8571428571428568,40.81632653061224,0.16249999999999998,9765624,153.7820779803287,157659516.71965262,False
5,0.08,2.4999999999999996,31.249999999999986,0.14999999999999997,9765624,97.65624999999994,63578287.76041659,False
5,0.09,2.222222222222222,24.691358024691354,0.13749999999999998,9765624,66.5087084840171,29489388.69474646,False
5,0.1,2.0,19.999999999999996,0.125,9765624,47.99999999999999,15359999.999999996,False
5,0.11,1.8181818181818181,16.52892561983471,0.11249999999999999,9765624,36.42738428613709,8846362.172866048,False
5,0.12,1.6666666666666665,13.888888888888884,0.09999999999999998,9765624,28.935185185185176,5581632.944673063,False
5,0.13,1.5384615384615383,11.834319526627219,0.0875,9765624,24.008763198567475,3842804.7354992526,False
5,0.14,1.4285714285714284,10.20408163265306,0.07499999999999998,9765624,20.824656393169512,2891108.759290505,False
5,0.15,1.333333333333333,8.888888888888886,0.06249999999999997,9765624,18.962962962962962,2397293.0955647,False
5,0.16,1.2499999999999998,7.8124999999999964,0.04999999999999996,9765624,18.310546875,2235174.1790771484,False
