rho,centre,eps,pid,safe,eta,C_mean,C_rms,C95,C_max,m_mean,m_std,m_min
0.28,tau_beh,0.0,761f5b05a546451e,1.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,9157cb1ed385d5e1,0.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,a67cbc415f01c86c,0.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,6d66f77f43a4b273,1.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,b8fc02d6b271052d,1.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,842f3cf5ab1b391c,0.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,18550ea6041669fd,0.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,94f18a1920d3ee13,1.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,1addf434cf109d8b,0.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,81e17a34a73d550f,0.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,d2c4a9b24efa6f59,0.008928571428571397,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,e416a7cac2b82a7b,0.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,1331b7857ff526e5,1.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,631588a7db3e1289,0.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,fa8bb19129c5885c,1.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,54fa2847a529a0b2,1.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,6855fe9557a72d6c,0.008298755186721962,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,f5aca89e174a4a67,1.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,3cb9dc163e061075,0.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,0fd46d992c7c3856,1.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,7a00a04c7ed7f1bf,1.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,456e763a67db55f9,1.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
