rho,pid,auc
0.36,2a7630b9ddded8d5,0.2
0.36,3159f31edc896059,0.0027959567161277648
0.36,3605a51c50d5daa0,0.0007352941176470499
0.36,38e3fe88a50cb3ef,0.0
0.36,3a831f177b4c7882,0.001136363636363625
0.36,41450c0e975a1c31,0.0033602976312376146
0.36,4381c0fb4c396040,0.2512145748987854
0.36,44e03bc01ee3055a,0.35
0.36,47bf27669a8fa08a,0.012381349880685632
0.36,486ee1ca9e71adc6,0.0
0.36,4910c9193fca9a21,0.001249999999999995
0.36,4a78cd4f429333ac,0.004400843929500535
0.36,4d3a619d3d16b595,0.45
0.36,4e12766ab5ee9a6f,0.2512711864406779
0.36,5406f38bad958fff,0.1
0.36,5b6660299c28d21a,0.1048614728865735
0.36,5d8a6dda9c034943,0.0
0.36,6354b26bfd6b0d3b,0.003536240060176215
0.36,663b72de42e74e86,0.001339285714285695
0.36,66eb648c6256c151,0.0019685039370078506
0.36,67f63c1627c03412,0.2558953815323432
0.36,6d1d8e613ece86e7,0.00383055327682071
0.36,6f3466b968e73ba3,0.2558713620186734
0.36,71fe74132803f26b,0.0
0.36,76825b753db42030,0.201255230125523
0.36,78001bdfb89f1ad1,0.45150000000000007
0.36,7b925779bf22fd74,0.0058790319614550005
0.36,7be724e7d2299999,0.006640942887600665
0.36,82da82d3e55219a5,0.017021548202614357
0.36,8acfa77cf5234bd4,0.006964873748131664
0.36,9332a9cf5d92314a,0.00424824510176643
0.36,9f60113cec74b0ee,0.0012658227848101199
0.36,a2f68f9c135648a0,0.1
0.36,a3ecb75bd15d05d8,0.1
0.36,a4a471e79162ce6a,0.00132158590308369
0.36,aa0070de67183c08,0.001930501930501925
0.36,aa6bc6d9ff6d7768,0.20135746606334842
0.36,acd5a3fd547677f6,0.0015
0.36,b5124e1b88000bd7,0.0013513513513513501
0.36,b62f26029c55da5d,0.10405405405405403
0.36,b7036711cecf282e,0.20365724680599034
0.36,bc83dba623c24f83,0.10222222222222219
0.36,bd981ed06e640944,0.10482197440347216
0.36,c0b0a6fd8196e526,0.35
0.36,c0da6f9a810ac96e,0.0
0.36,c4e140c6b10a0649,0.0038209159261790603
0.36,ceab4fde9bc557e9,0.00270270270270269
0.36,cfd0baecd1304030,0.35
0.36,d437bb99475d3d83,0.0032258064516128998
0.36,df593c445aa37cdd,0.006841847974762405
0.36,e0cbaf79c0d6e3eb,0.1
0.36,e3664a91fc92d1d6,0.0043452494096874305
0.36,e55575bab6cd051d,0.0
0.36,eac6ec2b274f3fe8,0.018439500764844113
0.36,eb5cda6e1fe9f6b5,0.21161243263225363
0.36,ecbc64034f374904,0.5012765957446809
0.36,f16d6af3f8b8b330,0.20654457130338644
0.36,f2e24c35c5249c8b,0.003955714450467055
0.4,018ccdd70b67d50b,0.20543802948052975
0.4,0545ede9161cd87b,0.35
0.4,0822110b214bf434,0.15489509214165698
0.4,0dbb1e13fa00f0f6,0.101171875
0.4,0e2ca3a9a1e8e218,0.1
0.4,101df2256aecf75b,0.1
0.4,1717ce53958590ba,0.10945058641119387
0.4,1868815d0a7c6716,0.45324054559862414
0.4,1991ac094bc47b5a,0.0026943942133815296
0.4,1e9be34e7c154aee,0.1
0.4,245b8a2be8abc37e,0.20494370253993194
