gate_family,n,beta,h0,A,omega,alpha,gate_at_h0,gate_at_safe_lo,gate_at_safe_hi,gate_at_half,invariance_margin,R_safe,R_safe_rect,tau_S,D_max,D_mean,T_rec,R_gate,h_end
G6_smooth_cantor,3,5.0,0.9,1.5,1.0,0.8,1.0,1.0,1.0,1.0,-1.3666666666666667,0.08613333333333334,0.08612759149390041,3.9306081369018053,1.313896587793768,0.7323346865495615,Inf,0.9707662094443491,-0.34880312565680915
G6_smooth_cantor,3,5.0,0.94,1.5,1.0,0.8,1.0,1.0,1.0,1.0,-1.3666666666666667,0.0862,0.08619425371641891,3.9319744806093886,1.3196805764260935,0.7338162765711449,Inf,0.970693723048835,-0.34880312565575644
G6_smooth_cantor,3,5.0,0.98,1.5,1.0,0.8,0.9936002984776785,1.0,1.0,1.0,-1.3666666666666667,0.08613333333333334,0.08612759149390041,3.9333281033253904,1.3254452912609642,0.7352880397334484,Inf,0.9706022789867643,-0.3488031256547107
G6_smooth_cantor,3,5.0,0.02,1.5,4.0,0.8,0.9936002984776786,1.0,1.0,1.0,-1.3666666666666667,0.29806666666666665,0.29804679688020796,0.2938975289637278,0.48,0.23482018870079122,Inf,0.9999989671660982,0.24829612967667578
G6_smooth_cantor,3,5.0,0.06,1.5,4.0,0.8,1.0,1.0,1.0,1.0,-1.3666666666666667,0.29793333333333333,0.29791347243517097,0.2725143167562638,0.44,0.23466413897998445,Inf,1.0,0.2482961296781853
G6_smooth_cantor,3,5.0,0.1,1.5,4.0,0.8,1.0,1.0,1.0,1.0,-1.3666666666666667,0.29786666666666667,0.29784681021265247,0.24981894751508307,0.4,0.2345638577923772,Inf,1.0,0.24829612967969422
G6_smooth_cantor,3,5.0,0.14,1.5,4.0,0.8,1.0,1.0,1.0,1.0,-1.3666666666666667,0.29793333333333333,0.29791347243517097,0.2253808252963074,0.36803793444008837,0.23452067189360493,Inf,1.0,0.24829612968120604
G6_smooth_cantor,3,5.0,0.18,1.5,4.0,0.8,1.0,1.0,1.0,1.0,-1.3666666666666667,0.29806666666666665,0.29804679688020796,0.19853902113787258,0.39026160220979345,0.23453601150227826,Inf,1.0,0.24829612968271536
G6_smooth_cantor,3,5.0,0.22,1.5,4.0,0.8,1.0,1.0,1.0,1.0,-1.3666666666666667,0.2982666666666667,0.29824678354776346,0.16816221022809655,0.41254489788598925,0.23461202716211665,Inf,1.0,0.24829612968422582
G6_smooth_cantor,3,5.0,0.26,1.5,4.0,0.8,1.0,1.0,1.0,1.0,-1.3666666666666667,0.2988,0.29878008132791145,0.13197754380909968,0.43487754826056835,0.23475160937839368,Inf,1.0,0.24829612968573514
G6_smooth_cantor,3,5.0,0.3,1.5,4.0,0.8,1.0,1.0,1.0,1.0,-1.3666666666666667,0.2998,0.29978001466568893,0.08372539761655697,0.4572694503896789,0.23495813339022587,Inf,1.0,0.2482961296872454
G6_smooth_cantor,3,5.0,0.34,1.5,4.0,0.8,1.0,1.0,1.0,1.0,-1.3666666666666667,0.3019,0.3019132057862809,0.0,0.4796522295313238,0.23523653617075324,Inf,0.9999909719899471,0.2482961296887492
G6_smooth_cantor,3,5.0,0.38,1.5,4.0,0.8,1.0,1.0,1.0,1.0,-1.3666666666666667,0.3015,0.3015132324511699,0.0,0.500660627744913,0.2355793691632346,Inf,0.9998273923985775,0.24829612969012624
G6_smooth_cantor,3,5.0,0.42,1.5,4.0,0.8,1.0,1.0,1.0,1.0,-1.3666666666666667,0.30083333333333334,0.3008466102259849,0.0,0.5215959257437401,0.23600930930274383,Inf,0.9997014417844924,0.24829612969153356
G6_smooth_cantor,3,5.0,0.46,1.5,4.0,0.8,1.0,1.0,1.0,1.0,-1.3666666666666667,0.3001666666666667,0.3001799880007999,0.0,0.5428114374795339,0.2365485031518736,Inf,0.9996136016958469,0.2482961296929721
G6_smooth_cantor,3,5.0,0.5,1.5,4.0,0.8,1.0,1.0,1.0,1.0,-1.3666666666666667,0.29923333333333335,0.29924671688554094,0.0,0.5641672739266361,0.23725320071772046,Inf,0.9995399661426527,0.24829612969442288
G6_smooth_cantor,3,5.0,0.54,1.5,4.0,0.8,1.0,1.0,1.0,1.0,-1.3666666666666667,0.2986333333333333,0.29864675688287445,0.0,0.5856219255294286,0.23816648606059265,Inf,0.9994741687856457,0.24829612969588058
