n,beta,alpha,A,g_lo,g_hi,nagumo_margin,guaranteed,predicted_layer_width,escaped_S,max_dev
5,10.0,0.8,0.2,1.0,1.0,-0.06666666666666668,false,-0.06931471805599448,true,0.17070276454570854
5,10.0,0.8,0.25,1.0,1.0,-0.11666666666666667,false,-0.013353139262452263,true,0.1888349395510842
5,10.0,0.8,0.3,1.0,1.0,-0.16666666666666666,false,0.02231435513142094,true,0.2072880202354077
5,10.0,0.8,0.5,1.0,1.0,-0.3666666666666667,false,0.10116009116784799,true,0.28225829234357847
5,10.0,0.8,1.0,1.0,1.0,-0.8666666666666667,false,0.18718021769015913,true,0.47154073811058306
5,10.0,0.8,1.5,1.0,1.0,-1.3666666666666667,false,0.2327277705584417,true,0.6613207725193266
5,10.0,0.8,3.0,1.0,1.0,-2.8666666666666667,false,0.3068052935133617,true,1.2311433997960963
5,25.0,0.8,0.1,1.0,1.0,0.033333333333333326,true,0.0,false,0.16000000000000003
5,25.0,0.8,0.2,1.0,1.0,-0.06666666666666668,false,-0.027725887222397792,true,0.17070276454570854
5,25.0,0.8,0.25,1.0,1.0,-0.11666666666666667,false,-0.005341255704980905,true,0.1888349395510842
5,25.0,0.8,0.3,1.0,1.0,-0.16666666666666666,false,0.008925742052568375,true,0.2072880202354077
5,25.0,0.8,0.5,1.0,1.0,-0.3666666666666667,false,0.0404640364671392,true,0.28225829234357847
5,25.0,0.8,1.0,1.0,1.0,-0.8666666666666667,false,0.07487208707606366,true,0.47154073811058306
5,25.0,0.8,1.5,1.0,1.0,-1.3666666666666667,false,0.09309110822337668,true,0.6613207725193266
5,25.0,0.8,3.0,1.0,1.0,-2.8666666666666667,false,0.12272211740534468,true,1.2311433997960963
5,50.0,0.8,0.1,0.9076936149869685,0.9076936149869679,0.04256397183463648,true,0.0,false,0.16000000000000003
5,50.0,0.8,0.2,0.9076936149869685,0.9076936149869679,-0.04820538966406038,false,-0.013862943611198896,false,0.16000000000000003
5,50.0,0.8,0.25,0.9076936149869685,0.9076936149869679,-0.0935900704134088,false,-0.0026706278524904524,false,0.16000000000000003
5,50.0,0.8,0.3,0.9076936149869685,0.9076936149869679,-0.13897475116275723,false,0.004462871026284188,true,0.18707842670113473
5,50.0,0.8,0.5,0.9076936149869685,0.9076936149869679,-0.32051347416015097,false,0.0202320182335696,true,0.2744315549975209
5,50.0,0.8,1.0,0.9076936149869685,0.9076936149869679,-0.7743602816536352,false,0.03743604353803183,true,0.31786517787963275
5,50.0,0.8,1.5,0.9076936149869685,0.9076936149869679,-1.2282070891471195,false,0.04654555411168834,true,0.34409249038400536
5,50.0,0.8,3.0,0.9076936149869685,0.9076936149869679,-2.5897475116275723,false,0.06136105870267234,true,1.0021894405463019
5,100.0,0.8,0.1,0.6469054314264527,0.6469054314264521,0.06864279019068806,true,0.0,false,0.16000000000000003
5,100.0,0.8,0.2,0.6469054314264527,0.6469054314264521,0.003952247048042784,true,-0.006931471805599448,false,0.16000000000000003
