model,kind,h0,R_safe_rk4,R_safe_adaptive,abs_diff,adaptive_ok
neural_smooth_b200,sinusoid,0.2,0.990625,0.990625,0.0,true
neural_smooth_b200,sinusoid,0.72,0.996875,0.996875,0.0,true
neural_smooth_b200,sinusoid,0.2,0.9738749999999999,0.9738749999999999,0.0,true
neural_smooth_b200,sinusoid,0.72,0.9971249999999999,0.9971249999999999,0.0,true
neural_smooth_b200,sinusoid,0.2,0.994375,0.994375,0.0,true
neural_smooth_b200,sinusoid,0.72,0.983125,0.983125,0.0,true
neural_smooth_b200,sinusoid,0.2,0.9953749999999999,0.9953749999999999,0.0,true
neural_smooth_b200,sinusoid,0.72,0.987125,0.987125,0.0,true
neural_smooth_b200,square,0.2,0.9793750000000001,0.9793750000000001,0.0,true
neural_smooth_b200,square,0.72,0.9973750000000001,0.9973750000000001,0.0,true
neural_smooth_b200,chirp,0.2,0.992625,0.992625,0.0,true
neural_smooth_b200,chirp,0.72,0.9946250000000001,0.9946250000000001,0.0,true
neural_smooth_b200,multifreq,0.2,0.9808749999999999,0.9808749999999999,0.0,true
neural_smooth_b200,multifreq,0.72,0.9958750000000001,0.9958750000000001,0.0,true
neural_smooth_b200,impulse,0.2,0.992375,0.992375,0.0,true
neural_smooth_b200,impulse,0.72,0.9948750000000001,0.9948750000000001,0.0,true
neural_smooth_b200,ou_noise,0.2,0.992625,0.992625,0.0,true
neural_smooth_b200,ou_noise,0.72,0.995125,0.995125,0.0,true
neural_smooth_b200,pw_random,0.2,0.992125,0.992125,0.0,true
neural_smooth_b200,pw_random,0.72,0.995125,0.995125,0.0,true
neural_smooth_b200,amp_extrap,0.2,0.978375,0.978375,0.0,true
neural_smooth_b200,amp_extrap,0.72,0.998625,0.998625,0.0,true
neural_smooth_b200,freq_extrap,0.2,0.992125,0.992125,0.0,true
neural_smooth_b200,freq_extrap,0.72,0.9973750000000001,0.9973750000000001,0.0,true
