pid,d_clean,x_risk,inside_calibrated_window
7cbd88792e63072f,0.3712638055707608,0.0,True
4a4ad95ae72b87c3,1.1731827788545979,0.0,True
7f117ac4ca28e192,2.569750137171606,0.0,True
e814fde50774216d,1.0267732840049002,0.0,True
7af28f6850b21085,-0.26447070464551653,0.26447070464551653,True
e285a59591a4c419,2.6696731464946177,0.0,True
cecda02faf6a6bac,0.8211047941404003,0.0,True
2621f521dd69b2b0,0.817369130375565,0.0,True
8496e7272fc3b381,2.3048959376466316,0.0,True
9405d20dce161f4a,0.3835142120329758,0.0,True
a81508da5920d3fe,0.6895760256716621,0.0,True
3e9a297588e7124d,1.5011256023776158,0.0,True
737bfbae26793eac,0.7102611565760057,0.0,True
5c67a8ef2e77525d,2.529116518817096,0.0,True
3fcd27158dbca50d,0.5191923458502966,0.0,True
d98b31a041d77481,3.032745813496687,0.0,True
2c0234bf40253d19,1.8153266772347119,0.0,True
351fad928b323011,3.202402875706547,0.0,True
b6e2f67bd96a59a9,1.1703353539412042,0.0,True
097e7aea7b7c064e,1.4186159650912573,0.0,True
d87ab26f8946a643,1.2463886532212185,0.0,True
5aa092c23ffe3f4f,-1.4943668881334888,1.4943668881334888,False
3112da4e80dd374e,1.5966512351632094,0.0,True
dec1cf22134d6fff,1.7023048330694175,0.0,True
caa1c2e239dc73de,1.2300608400019586,0.0,True
96e518b04b032bf6,2.201677303820531,0.0,True
674519d764ced7b6,0.7818277774052044,0.0,True
6615e2617f33bec5,1.0557532531039169,0.0,True
f9c13ea259d3b33f,2.020932555902687,0.0,True
5ab463e38bdcc98f,2.0717636202339835,0.0,True
23a45da28a8aae2e,1.8872483702133662,0.0,True
9af74ce10d56b1a8,1.7785252894991825,0.0,True
6f513f68a0f4ef86,-0.12102241378797701,0.12102241378797701,True
e3299555ae6dc29b,1.5585582578894008,0.0,True
2b3fa5aff2878ee4,0.3294290049524721,0.0,True
09a8d27a4fac7709,2.1031802753234503,0.0,True
84dae8e52c4adbe2,2.2245973551751552,0.0,True
592904feb1007ba8,0.0901290292197927,0.0,True
3902b54ffc1edddc,1.0726757837587004,0.0,True
cfcaab7572345453,1.9721386895152015,0.0,True
2849ef7dff1b977f,3.168279555900261,0.0,True
fda98372dcfcbb67,3.227090174454247,0.0,True
53b6d7eef2a5f73b,0.5961064174810703,0.0,True
73cc9b3c29ef47e6,1.847996287857587,0.0,True
0aa7be4c7591c168,2.5472671484287166,0.0,True
3838e0a44b11b696,2.4174643858444735,0.0,True
3f0b55eb5e17ff29,-0.5923378016804083,0.5923378016804083,False
356bafcab2d213da,2.0034096579466665,0.0,True
a218398b68a3e4bb,2.179196802850321,0.0,True
055aeec944a2eca6,1.0420983373225396,0.0,True
36fa6d096c766cf8,1.7607612510262112,0.0,True
09948e3211da21b9,0.14267324454676594,0.0,True
979be26c2676b239,1.4102010828703095,0.0,True
0984ea0f0122fb34,1.0766044214579242,0.0,True
ee115546ccd40b6b,2.0268620748676947,0.0,True
3c2cd9c089e8be06,1.6790207400589572,0.0,True
f79f2ae1be118ce6,1.2481575722108078,0.0,True
d6451f896e45d4e0,3.3638879961962473,0.0,True
5c2b42a7856d34d3,3.388174843474252,0.0,True
41d1445e98f14c1b,-0.5012929157463918,0.5012929157463918,False
6ecf208607330129,0.7759163856201806,0.0,True
c48461e06adc28b4,1.631584710710219,0.0,True
a86c485e8ff36afd,0.7806978593100835,0.0,True
c83576f838a451ac,1.7145567410578573,0.0,True
3cb1bda22f73c983,2.0930874521604137,0.0,True
b30a54e0776f3240,1.448439603503563,0.0,True
0c22b50034259ccc,2.098753735265625,0.0,True
4218b53be4b54eb0,2.8336124049766123,0.0,True
4cdeb1eca0aec513,1.0212973663302036,0.0,True
583c519f2fe9de78,2.3610139418521285,0.0,True
c13f5c1199056a3e,1.64612239019869,0.0,True
f52b4dbf35d8fcd7,1.7223961933977796,0.0,True
014b532ff25cbefb,2.0085726668360717,0.0,True
d780b7385e0029ea,2.49973430452669,0.0,True
3dc5d19ab23f6c7e,-1.0954121006001558,1.0954121006001558,False
6ef99a80504756f3,2.5000078182991894,0.0,True
9f58fd5e14cfb3b4,1.7650811247039524,0.0,True
9b5d438f7ceee99b,0.7593548101477242,0.0,True
914eb907f82c1bf2,3.2780786987712385,0.0,True
51754cc33bf0c368,0.2298525830043417,0.0,True
25e17799958d20ad,2.1679122465122638,0.0,True
493cd6f6dd10c724,2.7930257266182172,0.0,True
46069544d015a88e,2.2002143522957556,0.0,True
0a8b8ecedccad489,1.4283539477441811,0.0,True
2b7ac81ca8c61339,2.192149379971933,0.0,True
f9a8e1eb7bfc3f53,1.4697824480710855,0.0,True
4afc96efd353c573,1.2495798618163572,0.0,True
5c784039a63fd5f2,-0.2541878830451136,0.2541878830451136,True
96edc2558c2b031a,1.177500897613977,0.0,True
f018daeefa1a6c22,1.6140106237937342,0.0,True
fe17b91afaf60d6a,1.5167698866870833,0.0,True
47c55f949904b6d1,1.7186783142175306,0.0,True
