rho,depth,attack,eps,pid,safe,eta,C_mean,C_rms,C95,C_max,m_mean,m_std,m_min
0.25,3,authority_test,2.0,0822110b214bf434,0.0,0.24509626488230085,0.014312170766009076,0.017603568961935146,0.02813599083974206,0.05000000201529846,-3.497782366616385,4.146608080182757,-27.848560333251953
0.25,3,authority_test,2.0,0dbb1e13fa00f0f6,0.0,0.24509626488230085,0.014312170766009076,0.017603568961935146,0.02813599083974206,0.05000000201529846,-3.497782366616385,4.146608080182757,-27.848560333251953
0.25,3,authority_test,2.0,0e2ca3a9a1e8e218,0.0,0.24509626488230085,0.014312170766009076,0.017603568961935146,0.02813599083974206,0.05000000201529846,-3.497782366616385,4.146608080182757,-27.848560333251953
0.25,3,authority_test,2.0,101df2256aecf75b,0.0,0.24509626488230085,0.014312170766009076,0.017603568961935146,0.02813599083974206,0.05000000201529846,-3.497782366616385,4.146608080182757,-27.848560333251953
0.25,3,authority_test,2.0,1717ce53958590ba,0.0,0.24509626488230085,0.014312170766009076,0.017603568961935146,0.02813599083974206,0.05000000201529846,-3.497782366616385,4.146608080182757,-27.848560333251953
0.25,3,authority_test,2.0,1868815d0a7c6716,1.0,0.24509626488230085,0.014312170766009076,0.017603568961935146,0.02813599083974206,0.05000000201529846,-3.497782366616385,4.146608080182757,-27.848560333251953
0.25,3,authority_test,2.0,1991ac094bc47b5a,0.008368200836820106,0.24509626488230085,0.014312170766009076,0.017603568961935146,0.02813599083974206,0.05000000201529846,-3.497782366616385,4.146608080182757,-27.848560333251953
0.25,3,authority_test,2.0,1e9be34e7c154aee,0.0,0.24509626488230085,0.014312170766009076,0.017603568961935146,0.02813599083974206,0.05000000201529846,-3.497782366616385,4.146608080182757,-27.848560333251953
0.25,3,authority_test,2.0,245b8a2be8abc37e,0.0,0.24509626488230085,0.014312170766009076,0.017603568961935146,0.02813599083974206,0.05000000201529846,-3.497782366616385,4.146608080182757,-27.848560333251953
0.25,3,authority_test,2.0,2982eb379acc1dcf,0.007751937984496138,0.24509626488230085,0.014312170766009076,0.017603568961935146,0.02813599083974206,0.05000000201529846,-3.497782366616385,4.146608080182757,-27.848560333251953
0.25,3,authority_test,2.0,2a7630b9ddded8d5,0.0,0.24509626488230085,0.014312170766009076,0.017603568961935146,0.02813599083974206,0.05000000201529846,-3.497782366616385,4.146608080182757,-27.848560333251953
0.25,3,authority_test,2.0,3159f31edc896059,0.007407407407407418,0.24509626488230085,0.014312170766009076,0.017603568961935146,0.02813599083974206,0.05000000201529846,-3.497782366616385,4.146608080182757,-27.848560333251953
0.25,3,authority_test,2.0,3605a51c50d5daa0,0.0,0.24509626488230085,0.014312170766009076,0.017603568961935146,0.02813599083974206,0.05000000201529846,-3.497782366616385,4.146608080182757,-27.848560333251953
0.25,3,authority_test,2.0,38e3fe88a50cb3ef,0.0,0.24509626488230085,0.014312170766009076,0.017603568961935146,0.02813599083974206,0.05000000201529846,-3.497782366616385,4.146608080182757,-27.848560333251953
0.25,3,authority_test,2.0,3a831f177b4c7882,0.0,0.24509626488230085,0.014312170766009076,0.017603568961935146,0.02813599083974206,0.05000000201529846,-3.497782366616385,4.146608080182757,-27.848560333251953
0.25,3,authority_test,2.0,41450c0e975a1c31,0.008163265306122436,0.24509626488230085,0.014312170766009076,0.017603568961935146,0.02813599083974206,0.05000000201529846,-3.497782366616385,4.146608080182757,-27.848560333251953
0.25,3,authority_test,2.0,4381c0fb4c396040,0.0,0.24509626488230085,0.014312170766009076,0.017603568961935146,0.02813599083974206,0.05000000201529846,-3.497782366616385,4.146608080182757,-27.848560333251953
0.25,3,authority_test,2.0,44e03bc01ee3055a,1.0,0.24509626488230085,0.014312170766009076,0.017603568961935146,0.02813599083974206,0.05000000201529846,-3.497782366616385,4.146608080182757,-27.848560333251953
0.25,3,authority_test,2.0,47bf27669a8fa08a,0.0,0.24509626488230085,0.014312170766009076,0.017603568961935146,0.02813599083974206,0.05000000201529846,-3.497782366616385,4.146608080182757,-27.848560333251953
