family,seed,R_worst,eta,selfsim,max_weak_run,mean_nn,discrepancy,entropy,max_gap_span
L6_shuffled,29,0.51875,0.26121143647922046,0.2626986050224216,0.345679012345679,0.021485625327787083,0.28733572281959374,1.2427477304569319,0.00411522633744954
L7_center_anchored,29,0.41500000000000004,0.24582440689201968,0.09808998416265713,0.5843621399176954,0.02706979737432878,0.256139652197,1.2427477304569319,0.004115226337449207
L6_shuffled,30,0.4325,0.2594552721404015,0.15194588929942787,0.46090534979423864,0.02547405442485077,0.3222487720695605,1.2427477304569319,0.004115226337449318
L7_center_anchored,30,0.4325,0.2594552721404015,0.06354760221582911,0.5020576131687243,0.025660124133711017,0.25613965219699997,1.2427477304569319,0.004115226337449096
L6_shuffled,31,0.4325,0.24582440689201968,0.11743486353166588,0.39094650205761317,0.023742221983551012,0.2671578388424263,1.2427477304569319,0.00411522633744954
L7_center_anchored,31,0.52125,0.2738419634264361,0.13258121652835353,0.345679012345679,0.0208125965100922,0.16892340369042835,1.2427477304569319,0.004115226337449318
L6_shuffled,32,0.4125,0.24582440689201968,0.15850597178648362,0.5802469135802469,0.02958019706010586,0.2939731846541883,1.2427477304569319,0.004115226337449207
L7_center_anchored,32,0.52125,0.24582440689201968,0.16635435038322566,0.34567901234567894,0.021181222728986978,0.15803796628169342,1.2427477304569319,0.004115226337449318
L6_shuffled,33,0.41500000000000004,0.24582440689201968,0.16282100429276036,0.5761316872427983,0.029690267935162943,0.2946369308376476,1.2427477304569319,0.004115226337449096
L7_center_anchored,33,0.52125,0.2594552721404015,0.19338495818794854,0.345679012345679,0.02243104842700254,0.1567104739147751,1.2427477304569319,0.004115226337449096
L6_shuffled,34,0.52125,0.2594552721404015,0.22349365753791162,0.34567901234567905,0.020918331120481016,0.25680339838045907,1.2427477304569319,0.004115226337449318
L7_center_anchored,34,0.52125,0.2594552721404015,0.10998211304629801,0.3456790123456789,0.021142809855391995,0.17171113766095802,1.2427477304569319,0.004115226337449318
L6_shuffled,35,0.49375,0.2559782849650951,0.1824596097355129,0.34979423868312753,0.021798909663570315,0.18498606133014717,1.2427477304569319,0.00411522633744954
L7_center_anchored,35,0.52125,0.2508499752417387,0.16072533639276,0.4650205761316871,0.02532969767149503,0.2437939731846539,1.2427477304569319,0.004115226337449207
L6_shuffled,36,0.52125,0.24582440689201968,0.1345192769345741,0.34567901234567894,0.02112195301757546,0.2686180804460377,1.2427477304569319,0.004115226337449318
L7_center_anchored,36,0.52125,0.2491634725876016,0.14494168107208683,0.34979423868312737,0.021527961276833252,0.1608257002522233,1.2427477304569319,0.004115226337449318
L6_shuffled,37,0.52125,0.2629794876961109,0.18773045604109073,0.34979423868312737,0.021613045746889614,0.3701712465153321,1.2427477304569319,0.004115226337449651
L7_center_anchored,37,0.52125,0.2508499752417387,0.16930604723204823,0.34979423868312753,0.02130781709885699,0.19573874950219047,1.2427477304569319,0.004115226337449318
L6_shuffled,38,0.52125,0.25254789325773785,0.11479157728237688,0.39506172839506165,0.024078005461866833,0.23290853577591958,1.2427477304569319,0.004115226337449207
L7_center_anchored,38,0.42375,0.24582440689201968,0.1378174226553881,0.3497942386831274,0.021468693746382623,0.16082570025222376,1.2427477304569319,0.00411522633744954
L6_shuffled,39,0.52125,0.2559782849650951,0.2009487310813164,0.3539094650205761,0.021523830722044134,0.2516261781494765,1.2427477304569319,0.00411522633744954
L7_center_anchored,39,0.52125,0.2738419634264361,0.09525110951238891,0.34979423868312753,0.022219368825797385,0.22799681401831906,1.2427477304569319,0.004115226337449096
L6_shuffled,40,0.52125,0.2594552721404015,0.1771287261363622,0.345679012345679,0.021625437020330047,0.25640515067038405,1.2427477304569319,0.004115226337449096
L7_center_anchored,40,0.52125,0.24582440689201968,0.26563970410340043,0.34567901234567905,0.021172344818973038,0.17649011018186664,1.2427477304569319,0.004115226337449318
L4_periodic,0,0.42000000000000004,0.2738419634264361,0.11709606926685956,0.7427983539094649,0.034503707407222216,0.5204433824505508,1.2427477304569319,0.00411522633744954
